Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 1000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 5620
Event count: 5620000000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
12.01%,0.04%,RenderThread,29627,29652,/system/lib64/libhwui.so,"SkDrawable::draw(SkCanvas*, SkMatrix const*)",675000000,2000000,cpu-clock
11.57%,0.02%,RenderThread,29627,29652,/system/lib64/libhwui.so,"android::uirenderer::$_38::__invoke(void const*, SkCanvas*, SkMatrix const&) (.__uniq.150848978645254602633048518174355561839.llvm.5283597335554652210)",650000000,1000000,cpu-clock
11.55%,0.04%,RenderThread,29627,29652,/system/lib64/libhwui.so,"skgpu::ganesh::Device::drawDrawable(SkCanvas*, SkDrawable*, SkMatrix const*)",649000000,2000000,cpu-clock
11.51%,0.00%,RenderThread,29627,29652,/system/lib64/libhwui.so,android::uirenderer::skiapipeline::GLFunctorDrawable::onDraw(SkCanvas*),647000000,0,cpu-clock
10.87%,0.02%,RenderThread,29627,29652,/system/lib64/libhwui.so,android::uirenderer::WebViewFunctor::drawGl(android::uirenderer::DrawGlInfo const&),611000000,1000000,cpu-clock
10.80%,0.02%,RenderThread,29627,29652,/system/lib64/libwebviewchromium_plat_support.so,"android::(anonymous namespace)::draw_gl(int, void*, android::uirenderer::DrawGlInfo const&, android::uirenderer::WebViewOverlayData const&)",607000000,1000000,cpu-clock
10.78%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+6849514],606000000,0,cpu-clock
10.68%,0.00%,RenderThread,29627,29652,/vendor/lib64/libOpenglSystemCommon.so,"QemuPipeStream::commitBufferAndReadFully(unsigned long, void*, unsigned long)",600000000,0,cpu-clock
10.66%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+2922de0],599000000,0,cpu-clock
10.37%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+684cff8],583000000,0,cpu-clock
10.37%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+686d9d8],583000000,0,cpu-clock
10.36%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+686d848],582000000,0,cpu-clock
10.36%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+6871240],582000000,0,cpu-clock
10.21%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+293a5f0],574000000,0,cpu-clock
9.89%,0.02%,com.professionballarena.game,29627,29627,[JIT app cache],android.os.Looper.dispatchMessage,556000000,1000000,cpu-clock
9.88%,0.02%,com.professionballarena.game,29627,29627,[JIT app cache],android.os.Handler.handleCallback,555000000,1000000,cpu-clock
9.88%,0.00%,com.professionballarena.game,29627,29627,[JIT app cache],android.os.Handler.dispatchMessage,555000000,0,cpu-clock
9.86%,0.02%,com.professionballarena.game,29627,29627,[JIT app cache],android.view.Choreographer$FrameDisplayEventReceiver.run,554000000,1000000,cpu-clock
9.84%,0.04%,com.professionballarena.game,29627,29627,[JIT app cache],android.view.Choreographer.doFrame,553000000,2000000,cpu-clock
9.84%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+292fea0],553000000,0,cpu-clock
9.84%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+2942540],553000000,0,cpu-clock
9.63%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+2941bb4],541000000,0,cpu-clock
9.57%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+28c4130],538000000,0,cpu-clock
9.52%,9.52%,RenderThread,29627,29652,/apex/com.android.runtime/lib64/bionic/libc.so,read,535000000,535000000,cpu-clock
9.52%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+6091a3c],535000000,0,cpu-clock
9.50%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5cd170c],534000000,0,cpu-clock
9.50%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+685f2dc],534000000,0,cpu-clock
9.48%,0.00%,RenderThread,29627,29652,/vendor/lib64/egl/libEGL_emulation.so,qemu_pipe_read,533000000,0,cpu-clock
9.38%,0.00%,RenderThread,29627,29652,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+69504c4],527000000,0,cpu-clock
9.31%,0.02%,RenderThread,29627,29652,/vendor/lib64/egl/libEGL_emulation.so,"createNativeSync(unsigned int, int const*, int, bool, int, int*)",523000000,1000000,cpu-clock
9.31%,0.00%,com.professionballarena.game,29627,29627,[JIT app cache],android.view.Choreographer.doCallbacks,523000000,0,cpu-clock
9.23%,0.04%,com.professionballarena.game,29627,29627,[JIT app cache],android.view.Choreographer$CallbackRecord.run,519000000,2000000,cpu-clock
9.15%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5cd17ec],514000000,0,cpu-clock
9.13%,0.02%,Chrome_InProcGp,29627,29705,/vendor/lib64/egl/libEGL_emulation.so,eglCreateSyncKHR,513000000,1000000,cpu-clock
9.11%,0.02%,Chrome_InProcGp,29627,29705,/vendor/lib64/lib_renderControl_enc.so,"(anonymous namespace)::rcCreateSyncKHR_enc(void*, unsigned int, int*, unsigned int, int, unsigned long*, unsigned long*)",512000000,1000000,cpu-clock
9.11%,0.00%,Chrome_InProcGp,29627,29705,/vendor/lib64/egl/libEGL_emulation.so,"createNativeSync(unsigned int, int const*, int, bool, int, int*)",512000000,0,cpu-clock
8.93%,0.02%,RenderThread,29627,29652,/system/lib64/libhwui.so,"android::uirenderer::skiapipeline::SkiaOpenGLPipeline::swapBuffers(android::uirenderer::renderthread::Frame const&, android::uirenderer::renderthread::IRenderPipeline::DrawResult&, SkRect const&, android::uirenderer::FrameInfo*, bool*)",502000000,1000000,cpu-clock
8.91%,0.00%,RenderThread,29627,29652,/system/lib64/libhwui.so,"android::uirenderer::renderthread::EglManager::swapBuffers(android::uirenderer::renderthread::Frame const&, SkRect const&)",501000000,0,cpu-clock
8.90%,0.02%,RenderThread,29627,29652,/system/lib64/libEGL.so,eglSwapBuffersWithDamageKHR,500000000,1000000,cpu-clock
8.88%,0.04%,RenderThread,29627,29652,/system/lib64/libEGL.so,"android::eglSwapBuffersWithDamageKHRImpl(void*, void*, int const*, int)",499000000,2000000,cpu-clock
8.86%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a1affc],498000000,0,cpu-clock
8.86%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a30e1c],498000000,0,cpu-clock
8.84%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a9fc1c],497000000,0,cpu-clock
8.83%,0.02%,RenderThread,29627,29652,/vendor/lib64/egl/libEGL_emulation.so,eglSwapBuffers,496000000,1000000,cpu-clock
8.45%,0.00%,RenderThread,29627,29652,/vendor/lib64/egl/libEGL_emulation.so,egl_window_surface_t::swapBuffers(),475000000,0,cpu-clock
8.27%,0.00%,RenderThread,29627,29652,/vendor/lib64/lib_renderControl_enc.so,"(anonymous namespace)::rcCreateSyncKHR_enc(void*, unsigned int, int*, unsigned int, int, unsigned long*, unsigned long*)",465000000,0,cpu-clock
7.49%,0.07%,Chrome_InProcGp,29627,29705,/vendor/lib64/egl/libEGL_emulation.so,qemu_pipe_write_fully,421000000,4000000,cpu-clock
7.38%,0.00%,Chrome_InProcGp,29627,29705,/vendor/lib64/egl/libEGL_emulation.so,qemu_pipe_write,415000000,0,cpu-clock
7.35%,7.35%,Chrome_InProcGp,29627,29705,/apex/com.android.runtime/lib64/bionic/libc.so,write,413000000,413000000,cpu-clock
