Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
18.50%,0.00%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,"art::JNI<true>::CallStaticVoidMethodV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)",1589250000,0,cpu-clock
18.50%,0.00%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,"art::JValue art::InvokeWithVarArgs<_jmethodID*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)",1589250000,0,cpu-clock
18.50%,0.00%,com.professionballarena.game,27744,27744,/system/bin/app_process64,main,1589250000,0,cpu-clock
18.50%,0.00%,com.professionballarena.game,27744,27744,/system/framework/arm64/boot-framework.oat,com.android.internal.os.ZygoteInit.main,1589250000,0,cpu-clock
18.50%,0.00%,com.professionballarena.game,27744,27744,/system/framework/framework.jar,com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run,1589250000,0,cpu-clock
18.50%,0.00%,com.professionballarena.game,27744,27744,/system/lib64/libandroid_runtime.so,"_JNIEnv::CallStaticVoidMethod(_jclass*, _jmethodID*, ...)",1589250000,0,cpu-clock
18.50%,0.00%,com.professionballarena.game,27744,27744,/system/lib64/libandroid_runtime.so,"android::AndroidRuntime::start(char const*, android::Vector<android::String8> const&, bool)",1589250000,0,cpu-clock
18.34%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+685f2dc],1575000000,0,cpu-clock
18.30%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5cd170c],1572000000,0,cpu-clock
18.08%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5cd17ec],1553000000,0,cpu-clock
