Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
0.05%     RenderThread                  27744  27777  /system/lib64/libgui.so                                                                                                                                              android::Surface::queueBuffer(android::sp<android::GraphicBuffer>&&, int, android::SurfaceQueueBufferOutput*)
0.05%     binder:27744_1                27744  27855  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.05%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                @plt
0.05%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::(anonymous namespace)::CheckAttachedThread(char const*) (.__uniq.99033978352804627313491551960229047428)
0.05%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.MessageQueue.nextLegacy
0.05%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      java.lang.Object.<init>
0.05%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      java.lang.StringBuilder.append
0.05%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      java.lang.ref.Reference.refersTo
0.05%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      org.chromium.components.viz.service.frame_sinks.ExternalBeginFrameSourceAndroid.doFrame
0.04%     Chrome_ChildIOT               27744  27830  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.04%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2c68db0]
0.04%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c6f98]
0.04%     Chrome_InProcGp               27744  27829  /vendor/lib64/libOpenglCodecCommon.so                                                                                                                                IndexRangeCache::findRange(unsigned int, unsigned long, unsigned long, bool, int*, int*) const
0.04%     RenderThread                  27744  27777  /apex/com.android.runtime/bin/linker64                                                                                                                               [linker]tlsdesc_resolver_dynamic
0.04%     RenderThread                  27744  27777  /system/lib64/libbinder.so                                                                                                                                           android::IPCThreadState::transact(int, unsigned int, android::Parcel const&, android::Parcel*, unsigned int)
0.04%     VizWebView                    27744  27823  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2845b08]
0.04%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                NterpGetStaticField
0.04%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::JNI<true>::ExceptionCheck(_JNIEnv*)
0.04%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::Reference_refersTo0(_JNIEnv*, _jobject*, _jobject*) (.__uniq.253148291500730731607008926596911728915)
0.04%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_alloc_object_initialized_tlab
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.PerfettoTrace$Category.isEnabled
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      java.lang.Math.min
0.04%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __read_chk
0.04%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+41ce8c8]
0.04%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a28fd0]
0.04%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5c69ebc]
0.04%     Chrome_InProcGp               27744  27829  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                @plt
0.04%     Jit thread pool               27744  27751  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.04%     Jit thread pool               27744  27751  [vdso]                                                                                                                                                               __kernel_clock_gettime
0.04%     RenderThread                  27744  27777  /system/lib64/libgui.so                                                                                                                                              android::TransactionState::getLayerState(android::sp<android::SurfaceControl> const&)
0.04%     RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             @plt
0.04%     binder:27744_4                27744  27765  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.04%     binder:27744_6                27744  27869  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.04%     binder:27744_7                27744  27894  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __recvmsg
0.04%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::(anonymous namespace)::CheckJNI::ExceptionCheck(_JNIEnv*) (.__uniq.99033978352804627313491551960229047428.llvm.14895045140914427511)
0.04%     com.professionballarena.game  27744  27744  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+53026cc]
0.04%     com.professionballarena.game  27744  27744  /system/framework/arm64/boot.oat                                                                                                                                     QuickImtConflictTrampoline
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.Looper.loopOnce
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.Message.recycleUnchecked
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.Trace.traceEnd
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.view.Choreographer$CallbackRecord.run
0.04%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      java.lang.String.length
0.04%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a2c14c]
