Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children  Self    Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
10.01%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5aa0108]
9.93%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2922de0]
9.86%     0.01%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.view.Choreographer$FrameDisplayEventReceiver.run
9.84%     0.03%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.view.Choreographer.doFrame
9.48%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+293a5f0]
9.40%     0.28%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      art_jni_trampoline
9.19%     0.03%   RenderThread                  27744  27777  /vendor/lib64/libOpenglSystemCommon.so                                                                                                                               QemuPipeStream::commitBufferAndReadFully(unsigned long, void*, unsigned long)
8.98%     0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a2a5cc]
8.96%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2942540]
8.93%     0.03%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.view.Choreographer.doCallbacks
8.75%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+292fea0]
8.69%     0.04%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.view.Choreographer$CallbackRecord.run
8.67%     0.00%   RenderThread                  27744  27777  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2941bb4]
8.38%     0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5b08db4]
